tenure_height,txs,read_count,read_length,runtime,write_count,write_length
171197,82,14889,29490074,187957706,906,82152
171196,90,14306,24087862,127634007,718,60418
171195,20,12187,15011744,61674109,127,5376
171194,92,14357,22540688,275461589,826,94185
171193,48,14121,5016262,339236961,183,34050
171192,32,11494,9956450,132664368,213,14148
171191,47,12172,10992597,122271630,302,18606
171190,89,14965,10544631,313605095,441,38879
171189,33,12995,15960690,231781061,232,8010
171188,41,13557,20753613,206140170,341,18271
171187,88,14282,23268594,391153978,569,34436
171186,43,11339,13334163,86739715,248,19608
171185,61,14829,18825132,109120672,329,18455
171184,98,14405,21742845,147455307,606,49270
171183,38,14976,20251179,81394165,221,8437
171182,132,14245,24030994,161722109,790,68159
171181,56,14668,22111290,143637988,268,20567
171180,125,10279,14941154,146033039,753,57428
171179,39,4368,6962098,39297454,319,28233
171178,44,6172,6208393,152697796,433,39377
171177,105,14845,17361755,234144689,672,49760
171176,47,14559,17628832,294182795,740,81993
171175,46,14125,13071639,167960982,462,36200
171174,57,14903,28046123,115886894,913,94759
171173,103,10428,20261934,250975882,716,83029
171172,53,14707,25205586,87788808,999,103412
171171,84,14779,18688137,68796155,3262,191963
171170,103,14500,23158593,349845958,1037,127967
171169,60,14307,19948245,127558003,443,41160
171168,56,14447,23051838,111416729,646,37558
171167,43,5181,7265290,168157645,248,22654
171166,124,14898,19887892,219267788,807,58420
171165,53,6943,10540534,82117006,420,35963
171164,108,10571,17276345,162227270,698,62947
171163,43,14916,20895999,77381835,498,37940
171162,137,14359,19099185,142081915,711,55666
171161,135,14495,22675025,160626780,925,76032
171160,31,9944,13483326,57691432,189,11447
171159,117,14681,25575717,125181601,733,89751
171158,85,14997,20878906,116923208,670,45325
171157,61,14367,17337947,124805354,854,47927
171156,97,12236,15439669,120824721,593,34427
171155,45,13388,15435958,156046808,627,50958
171154,27,14544,24001621,102863054,1001,81999
171153,48,13133,19182105,115143508,605,43199
171152,63,14705,24763664,135049407,913,101107
171151,67,14073,20293169,135302069,910,82986
171150,39,12660,23922406,78684698,943,85708
171149,40,14706,25335899,133927005,1030,121195
171148,60,12009,26823942,124605592,573,51247
171147,54,14196,16031151,162932888,654,46978
171146,67,7049,11777339,130999911,503,36393
171145,46,13829,16249995,171566152,679,52386
171144,47,14847,12213482,219053349,650,50682
171143,60,14208,21385422,162334873,1377,91523
171142,59,14997,25529524,114472687,1014,85438
171141,65,13452,26463104,111859187,962,78218
171140,120,14957,33299615,144453342,995,75992
171139,78,14259,31425962,158966693,1210,118311
171138,97,14917,30854007,208907870,986,95545
171137,80,14905,27998650,128775259,851,56164
171136,31,4458,8018266,30201661,420,25074
171135,59,6481,12105121,54363412,646,48388
171134,38,3636,7872818,122480980,338,42920
171133,31,3075,7254016,39474823,286,24254
171132,31,5392,6726620,48158560,220,12245
171131,26,3523,7212161,45953974,225,18723
171130,30,5588,8641370,66800085,501,26051
171129,62,6092,9811735,85242815,435,34675
171128,1,0,0,0,0,0
171127,45,4840,11318112,46387654,317,31107
171126,44,5109,12065942,44736545,429,37385
171125,48,6758,14048554,82647838,430,45623
171124,24,4149,5758105,48585357,256,17309
171123,75,9241,13280206,125402001,555,48177
171122,88,7855,11970770,151863128,591,57294
171121,91,6145,16304574,57416639,566,55136
171120,120,9453,16691003,96796676,819,63350
171119,83,14552,32455352,129469538,957,81116
171118,94,6478,11129170,188456675,656,62118
171117,67,14922,19537160,158204778,873,72658
171116,26,14547,16301428,163048627,669,56147
171115,43,11952,12255381,149803064,600,49254
171114,44,3865,6340435,33731235,217,12741
171113,24,12489,20093318,115955070,867,76936
171112,60,14640,20546176,134405165,791,66283
171111,67,14791,16370756,166377001,747,57869
171110,133,14317,17936796,581235327,1290,148105
171109,38,4585,9937489,51240410,339,24844
171108,51,3048,3165452,201653118,292,40418
171107,32,14997,30652136,121868226,1223,115815
171106,42,13814,12430228,192059485,776,62058
171105,53,3635,4572080,38852126,297,19685
171104,54,14979,51396916,190371966,1117,132612
171103,99,8340,16547499,68287423,701,53430
171102,88,5011,11114890,53239152,593,54300
171101,56,12826,22466651,126552383,771,60361
171100,47,13207,21789229,124024300,903,85612
171099,55,12644,20255275,152577441,614,52796
171098,44,14540,16502681,247210518,711,49472
171097,44,14771,42590565,175552605,556,68626
171096,79,14919,16224810,199869756,655,60803
171095,53,14453,17411987,412416558,844,80709
171094,118,14986,34627422,173144404,1207,109151
171093,102,14696,33696989,306152164,881,86261
171092,128,8116,16114297,366395398,836,69447
171091,116,14858,24811224,112262864,960,61124
171090,55,14796,49924126,161893494,1044,106348
171089,82,13608,27068119,236348239,967,88383
171088,62,3047,3399414,66077466,191,13117
171087,148,13258,19517930,120823271,789,51303
171086,91,11792,20298986,208648277,1033,113954
171085,102,8805,20689068,103819748,752,55348
171084,126,10235,19293921,498302370,605,57750
171083,108,14926,25835175,140982790,1051,71215
171082,60,14421,18438014,148593199,935,71427
171081,131,14546,25270526,227556553,1105,95149
171080,19,13629,27396392,90105536,1107,105249
171079,83,12394,21529314,203870993,1050,87704
171078,19,13511,22144909,113791002,842,79561
171077,54,13122,26049679,281881105,948,78353
171076,68,14931,22146419,344461324,766,69343
171075,44,13903,11778387,269454249,2647,134459
171074,62,14646,19726916,253156425,1021,67753
171073,21,2007,1282533,37234952,67,3538
171072,24,14385,8494917,240588200,428,30406
171071,42,14956,11362102,231650809,559,41546
171070,84,14602,18423638,279873940,710,61818
171069,54,13930,18266638,167014192,735,62368
171068,110,10115,15562933,108954124,921,52612
171067,134,13986,15340123,176757793,931,70746
171066,76,14970,24595237,182909858,777,77425
171065,57,14621,39365566,151438100,1279,116976
171064,100,14854,28205410,298123818,1300,283705
171063,116,14858,30041377,125810873,1042,88497
171062,58,5216,7754648,59293325,324,21899
171061,133,14958,28382743,221054280,1182,92405
171060,113,14825,16872957,205892817,752,59503
171059,38,5704,15149747,100439149,414,46287
171058,65,4235,7691182,43635787,569,33088
171057,57,4868,7940342,79661085,365,29624
171056,44,4023,7766446,51179474,292,23430
171055,57,6202,13751940,47128179,551,45998
171054,148,14887,27941320,237273008,1203,86765
171053,70,14799,36487234,132344223,1138,101347
171052,100,14941,24534733,160678698,994,69867
171051,160,12652,16716821,162092425,936,56003
171050,64,9165,9628530,149828533,479,30190
171049,69,8340,10622958,98374853,470,31854
171048,36,13596,24240990,127242994,929,83260
171047,37,14174,23419542,145492592,958,88914
171046,45,14257,33373729,161126630,841,88732
171045,94,14654,35888069,278441769,1276,91226
171044,42,14734,28906814,193489785,692,61690
171043,57,3264,7412728,67082665,370,28101
171042,42,6294,10008475,46966641,464,25140
171041,39,14773,23971893,223365687,612,53812
171040,107,14778,25717849,170735946,1138,99881
171039,65,12955,23820225,134691982,1070,83372
171038,80,14672,51938698,171408440,985,96534
171037,56,14559,33988951,240335620,829,74624
171036,26,14965,13689153,206432698,477,38006
171035,64,14886,23540083,158585246,1128,103012
171034,25,8426,6809445,46668966,1845,6346
171033,35,13797,13276419,91923044,3069,15565
171032,84,13492,30431929,171275110,976,94949
171031,49,9464,13869977,111514081,498,36883
171030,84,14021,29031575,218696814,858,64690
171029,28,7316,7983364,77974384,675,31346
171028,87,8210,16820392,102946460,534,41000
171027,86,5106,13155982,85490766,470,35475
171026,29,13475,17560160,144284970,732,62800
171025,25,14985,26895808,116791847,1059,101769
171024,23,13527,15753949,162617662,663,58458
171023,47,12092,15874305,174022863,685,50859
171022,34,11891,10143236,160039386,463,47289
171021,56,14015,15921013,418032905,844,91487
171020,30,12174,11802734,284804751,551,65231
171019,65,14981,22264064,168464910,954,83579
171018,73,12381,11564199,341920990,661,68305
171017,73,14954,15318505,373555304,1027,114173
171016,74,13037,15334322,202822476,634,39211
171015,60,6608,14873457,131907679,570,49948
171014,35,14193,14609828,179739186,662,53030
171013,51,13947,19560526,170978803,792,57079
171012,45,14098,18869326,190613732,749,65463
171011,32,11941,17054987,123346021,765,66520
171010,90,14980,18200242,188258485,762,54713
171009,34,12686,24810709,80174247,971,81324
171008,52,14442,18364499,187379058,713,67246
171007,129,14918,29710034,291918405,961,86143
171006,63,14982,19658979,219111167,768,63529
171005,58,14988,13028371,212788901,412,40884
171004,44,14740,17011630,181455980,660,58122
171003,105,14725,26043542,153459086,1313,126797
171002,23,14286,1410958,253791841,93,7485
171001,53,14765,14037720,204177663,681,84611
171000,1,0,0,0,0,0
170999,50,14480,16375280,257355563,793,67116
170998,55,13890,15442078,189895829,777,61280
170997,83,14121,20832539,216122840,880,70463
170996,41,14839,7264994,256238481,295,28598
170995,103,14940,24501003,196976738,899,84950
170994,70,14420,12989182,378311609,749,81001
170993,43,13995,8623325,230468830,558,39622
170992,68,14255,18309459,212741925,715,78455
170991,131,14943,35393911,162258879,1272,115436
170990,31,14692,22118176,321234431,938,104008
170989,104,14862,23191987,201082218,870,75154
170988,21,14528,8764427,274226814,342,34664
170987,51,14875,19655334,194111861,830,73270
170986,46,14791,20434390,154432394,869,69593
170985,38,13195,11726478,168284753,621,40372
170984,30,12936,17380427,245668445,670,62979
170983,56,14874,16759024,184842319,786,56045
170982,127,14080,27306693,146680389,1803,126243
170981,57,14739,14046269,213588692,749,67728
170980,83,14512,18665938,172746585,903,72607
170979,39,14014,11345202,183984723,535,45401
170978,42,14557,15280528,175937885,639,61476
170977,22,14321,12938486,191008646,532,42452
170976,26,14150,12747776,189665117,509,47478
170975,39,14484,12423434,274836777,663,59144
170974,36,14733,17909580,178534495,801,66662
170973,102,13982,16183065,146502315,776,89996
170972,44,12155,16944944,155140430,784,71839
170971,56,14763,23420246,127833163,1042,95643
170970,27,14758,22599663,141779128,942,84471
170969,19,14231,25469037,112290218,1017,97114
170968,58,14586,24366533,129049493,1015,89597
170967,58,12823,22519002,115529065,976,90666
170966,23,13166,21967028,115013467,876,81599
170965,54,13312,24623041,113089703,972,84612
170964,43,14714,24962790,131821196,1030,93278
170963,52,14554,24836174,130290140,984,94050
170962,42,13619,24858738,144927279,708,71388
170961,48,14378,18424001,341022235,976,94473
170960,114,13785,21370409,163627910,877,73409
170959,89,14697,17010955,159515365,6688,351217
170958,96,14958,21612977,169457898,997,76843
170957,9,12912,25617456,84958055,986,98325
170956,63,14273,27221036,115275702,1122,106032
170955,50,12371,15347482,163497593,507,44085
170954,180,14989,31725379,182660796,1038,105733
170953,30,14250,15481276,182235904,671,57441
170952,123,13661,27178245,131835655,1374,96856
170951,3,0,0,0,0,0
170950,106,5776,13186024,77968145,564,43896
170949,37,4653,4271865,81964163,263,16184
170948,65,5993,12012916,89433889,516,39864
170947,38,13515,13540929,194681814,660,68171
170946,90,13999,20192991,235428973,913,69228
170945,31,13966,23088756,119087000,955,84348
170944,37,14826,17420036,232496425,690,63514
170943,55,13745,12928870,334394026,702,70902
170942,29,12349,19831033,156833525,844,76190
170941,95,14650,18096983,470827289,875,87107
170940,26,12937,22454024,97071957,919,84935
170939,85,14523,12442344,287726133,565,41294
170938,84,14873,25766842,160222299,980,142650
170937,84,14937,20557699,156947617,1017,88581
170936,62,14871,25565331,174782773,809,72614
170935,142,14997,16851279,242256108,778,53432
170934,61,14918,26300069,153661978,951,82225
170933,120,14838,29000485,372449812,1141,131176
170932,164,14939,22464147,202804817,1118,84877
170931,45,14991,15858819,277405679,371,39581
170930,159,14576,29097456,303621973,1026,110021
170929,168,14726,19976790,167452357,967,81323
170928,65,14998,13434732,235216320,397,38792
170927,114,4532,10221990,30329504,337,24056
170926,36,14600,24791515,122062425,941,83645
170925,86,12252,11325291,191751805,766,40467
170924,52,14378,25171154,108071665,1083,90372
170923,23,13496,17019600,139443007,696,60687
170922,93,14898,24618653,144699314,948,75687
170921,75,14932,11211907,213119643,832,98340
170920,37,13467,13471872,176170783,618,47375
170919,43,14204,24875424,126719883,874,81536
170918,32,12489,16986144,102967895,674,131190
170917,117,14972,26879503,151226843,951,84371
170916,45,14993,18945066,198553503,829,78198
170915,103,14240,29340419,155951655,1255,101377
170914,80,14852,31974629,226969312,747,73221
170913,123,14815,36467851,227731433,867,91291
170912,17,13033,18911684,127991440,741,69073
170911,48,14857,36570457,153476608,1101,106251
170910,33,14485,17053430,161564671,698,58396
170909,135,14336,23730676,705244438,1276,173483
170908,23,12500,18271379,126062905,654,62716
170907,36,12310,9639015,179448716,431,40980
170906,31,14738,13392642,187131675,483,40569
170905,97,14042,23500525,186768784,886,81747
170904,43,14869,15956933,185963603,654,52318
170903,95,14676,22957172,209672363,912,74016
170902,19,14773,15935182,200602994,501,50888
170901,37,14410,23693047,120128231,938,82113
170900,20,14547,17457723,167803663,699,120190
170899,54,14762,16312478,159000374,711,49435
170898,144,8937,16846167,84897593,575,50852
170897,35,13474,23364771,98555223,910,75770
170896,30,14233,6960708,219427711,451,41467
170895,58,14492,25663627,297138596,1060,115937
170894,92,4232,7337016,98562921,503,44500
170893,67,14928,28418391,275312429,464,41147
170892,70,14642,21066602,212795660,458,46527
170891,115,14213,19919170,470071329,1115,117913
170890,42,14041,11784767,259377465,399,25635
170889,61,13928,8014151,243452556,327,32785
170888,55,14423,18540527,161083661,1182,88467
170887,86,10997,14526143,163900038,580,46030
170886,20,14887,22269762,135426571,885,89239
170885,49,14230,16539163,150121108,884,60250
170884,125,14962,17092189,270374066,992,76849
170883,34,13628,24028751,121877784,929,85694
170882,73,12190,16720187,146571105,1067,134529
170881,64,14544,21312684,186986463,727,69559
170880,54,14888,10507770,231816205,473,42200
170879,66,13928,12476509,202821718,527,47577
170878,46,13887,11268858,201731768,479,39938
170877,46,14916,19304317,198161805,637,57762
170876,69,14288,29183794,157934833,1229,92760
170875,75,14736,30217297,193360747,1225,110987
170874,108,14987,32461364,229528378,921,98313
170873,84,8011,13777826,106389981,532,47571
170872,43,3293,6253366,52779699,308,18234
170871,16,3188,1696238,48300106,91,6473
170870,21,7430,3287323,115884728,201,13390
170869,126,12847,21406530,192350565,707,72455
170868,130,14875,25864397,187293849,1599,122397
170867,64,14882,20991805,229423111,766,62163
170866,140,14989,30102182,177365777,1074,91096
170865,42,11108,24114998,96702465,875,80757
170864,68,14181,18499932,195588966,773,55343
170863,56,12545,26693379,126063542,932,91726
170862,33,8025,9088579,95650983,447,32979
170861,58,14912,30393764,146075698,1138,98097
170860,67,13457,16359296,172636496,828,68747
170859,130,14367,28736467,132197161,1289,146876
170858,97,14337,23646185,191159704,961,84777
170857,16,13875,31163720,112647118,1012,102070
170856,36,11919,13352093,131924860,652,42858
170855,81,4985,11711471,37627206,342,27342
170854,76,14163,18558077,176317256,921,78417
170853,19,14306,31610869,121411183,1042,102288
170852,38,13979,19063354,172766065,824,68659
170851,87,14698,18790793,271674500,993,83710
170850,31,13328,17577846,170946442,821,64877
170849,29,14725,31088556,119949874,1157,109276
170848,34,14320,23214839,162345045,919,78179
170847,33,14869,32770593,193093960,1378,147267
170846,64,14100,16957396,282488460,859,74036
170845,51,14608,32200176,162927815,1209,104549
170844,30,14349,24863761,237309931,1052,75171
170843,28,14809,30278655,186631788,1114,96077
170842,143,14814,25577419,206507218,1037,84664
170841,22,14831,22387441,156298484,1336,103306
170840,81,14591,15360280,250345280,606,49925
170839,22,14326,19283958,150379362,831,75092
170838,73,14475,16428568,191216242,665,55843
170837,24,14294,19272717,149573720,819,74978
170836,56,14027,21672844,155977089,838,75291
170835,30,14011,23120256,123095778,974,94134
170834,32,14147,28925100,134499110,964,98111
170833,35,11968,21204822,1165509538,707,63656
170832,110,12995,25054751,102731566,947,75293
170831,35,12738,20070766,123576123,861,78012
170830,31,14133,25884236,106142104,989,91273
170829,69,14846,19262986,177573567,932,92016
170828,51,13931,23314887,103881430,2928,175164
170827,92,13627,17986199,164568288,882,67971
170826,95,14226,20163496,163880293,799,57369
170825,62,12031,17101532,121940239,676,54428
170824,130,13819,28866159,105513776,844,86301
170823,136,14194,25175309,211623557,1024,94118
170822,35,12534,24410272,86905757,943,85022
170821,49,12745,15685677,170356428,789,64437
170820,122,13846,23841438,143872013,992,78078
170819,42,13065,12425985,173535687,552,43182
170818,126,14948,29058008,128629310,1016,80591
170817,60,14264,29996983,162239323,960,88797
170816,64,14860,28654226,192710995,846,64519
170815,105,9071,17146803,302259957,835,60912
170814,149,14971,14719306,255812540,464,38215
170813,51,14137,25560075,133215807,1049,84799
170812,57,13829,22238960,121289067,932,76151
170811,54,14871,29771728,110968443,1165,119871
170810,42,14261,17000095,167388524,786,65170
170809,119,14400,32511752,208871967,1218,98685
170808,44,14512,24665758,359936020,1114,125905
170807,31,13218,26504379,95952957,1119,100155
170806,67,12523,21316274,128827600,820,65666
170805,103,14999,29785698,130504031,1142,95159
170804,80,14512,19200084,168785797,2866,174132
170803,67,14405,19210397,134553214,896,54083
170802,125,14479,32731202,160020770,1347,140006
170801,67,13810,25310109,127874025,897,116791
170800,51,5237,12855064,88663565,438,32929
170799,49,6159,11809661,118490519,430,36892
170798,37,4585,7950293,216974257,371,49911
170797,118,11550,25039506,251860562,1045,73658
170796,35,14971,10449302,266727176,293,30179
170795,27,3385,11022075,52259272,107,11318
170794,115,14984,36263640,281950468,1077,99292
170793,36,13400,25048404,107398011,930,83266
170792,52,13013,18410576,139067298,609,51437
170791,38,14944,13386146,197671978,583,46431
170790,28,14085,20170746,153216154,843,65665
170789,86,14338,23935832,153676902,1051,81673
170788,115,14816,27314792,233914081,1750,87509
170787,55,13576,24467437,127410630,910,83960
170786,44,14228,23641547,185075891,942,83952
170785,72,14094,18141165,192405396,702,59432
170784,63,14266,18299937,175327659,707,54585
170783,112,14912,26816174,190903509,1082,80340
170782,108,14700,19268927,242358439,804,57856
170781,82,14507,23036280,157688199,850,78869
170780,54,14442,18033815,153072066,2599,144590
170779,57,3559,6794535,22642477,286,21343
170778,75,14800,23912375,158406890,960,74943
170777,72,13899,23231510,135604638,815,82520
170776,102,14841,24858371,119802238,903,54089
170775,75,14929,28534504,101849099,1285,69329
170774,23,6606,10236662,58728963,458,36391
170773,30,14574,28360224,152676336,1205,118423
170772,58,14605,23398445,170896634,961,84211
170771,87,14995,28237084,207729819,1048,92747
170770,100,13368,17805381,190689166,817,63028
170769,44,10147,13384522,139811281,615,49369
